Status_Evento,Campeonato,Regiao,Periodo_Campeonato,Data_Partida,Mapa,Time,Vitorias,Derrotas,Aproveitamento,Mapas_Jogados,Jogador,Agente,Rating,ACS,Kills,Mortes,Assistencias,ADR
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Bind,LOUD,5,9,35.7%,14,qck,Jett,0.94,179.8,19.3,16.7,9.9,99.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-27,Bind,NRG,8,6,57.1%,14,Crashies,Sova,1.26,269.6,9.2,16.5,7.4,89.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-27,Bind,NRG,8,6,57.1%,14,victor,Raze,1.03,146.1,19.1,11.6,2.1,150.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-27,Bind,NRG,8,6,57.1%,14,ETHAN,Breach,1.09,210.6,14.8,14.3,6.5,151.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-27,Bind,NRG,8,6,57.1%,14,marved,Omen,0.89,309.3,12.7,12.8,7.2,87.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-27,Bind,NRG,8,6,57.1%,14,Fiend,Killjoy,1.02,239.6,17.2,18.0,8.8,164.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-03,Breeze,Cloud9,4,5,44.4%,9,OXY,Neon,0.69,260.2,13.3,15.6,7.9,176.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-03,Breeze,Cloud9,4,5,44.4%,9,Zellsis,Killjoy,1.13,307.6,8.7,9.7,7.2,122.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-03,Breeze,Cloud9,4,5,44.4%,9,penny,Viper,0.75,140.5,10.9,9.3,4.9,111.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-03,Breeze,Cloud9,4,5,44.4%,9,v1c,Omen,0.92,120.5,8.8,15.7,5.8,109.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-03,Breeze,Cloud9,4,5,44.4%,9,Xeppaa,Sova,0.74,298.2,17.9,11.1,3.6,162.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Breeze,Sentinels,0,7,0.0%,7,zekken,Jett,0.74,232.6,18.2,12.6,4.7,138.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Breeze,Sentinels,0,7,0.0%,7,johnqt,Cypher,1.4,153.1,8.4,15.9,5.0,179.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Breeze,Sentinels,0,7,0.0%,7,SACY,Fade,1.27,238.0,12.6,10.8,7.0,110.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Breeze,Sentinels,0,7,0.0%,7,TenZ,Omen,0.68,205.1,14.7,15.1,5.5,177.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Breeze,Sentinels,0,7,0.0%,7,Zellsis,KAY/O,0.87,165.1,21.6,10.0,6.3,203.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Breeze,LOUD,4,4,50.0%,8,Less,Viper,0.88,206.6,8.2,13.8,8.0,191.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Breeze,LOUD,4,4,50.0%,8,Saadhak,Breach,1.28,213.5,13.4,10.6,5.3,122.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Breeze,LOUD,4,4,50.0%,8,cauanzin,Sova,1.43,274.8,19.7,14.9,5.0,142.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Breeze,LOUD,4,4,50.0%,8,tuyz,Omen,1.03,147.5,21.9,14.8,5.2,200.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Breeze,LOUD,4,4,50.0%,8,qck,Jett,1.05,132.5,22.8,18.0,2.1,114.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Breeze,NRG,8,9,47.1%,17,Crashies,Sova,1.29,166.9,18.3,14.8,7.5,149.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Breeze,NRG,8,9,47.1%,17,victor,Raze,1.27,224.2,8.9,10.7,7.1,172.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Breeze,NRG,8,9,47.1%,17,ETHAN,Breach,1.15,266.7,8.4,12.2,7.9,183.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Breeze,NRG,8,9,47.1%,17,marved,Omen,1.39,185.0,12.0,17.9,9.3,178.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Breeze,NRG,8,9,47.1%,17,Fiend,Killjoy,1.39,306.5,8.1,16.1,4.4,141.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Corrode,Cloud9,1,4,20.0%,5,OXY,Neon,1.24,122.8,14.7,10.5,2.2,119.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Corrode,Cloud9,1,4,20.0%,5,Zellsis,Killjoy,1.19,189.8,12.9,17.8,9.7,199.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Corrode,Cloud9,1,4,20.0%,5,penny,Viper,1.16,140.7,9.0,15.8,5.6,108.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Corrode,Cloud9,1,4,20.0%,5,v1c,Omen,1.32,246.9,21.8,12.8,2.2,124.7
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Corrode,Cloud9,1,4,20.0%,5,Xeppaa,Sova,0.87,274.8,16.1,9.4,4.1,191.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Corrode,Sentinels,2,9,18.2%,11,zekken,Jett,1.36,138.8,20.0,15.9,5.6,128.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Corrode,Sentinels,2,9,18.2%,11,johnqt,Cypher,0.71,168.4,15.6,12.0,7.3,149.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Corrode,Sentinels,2,9,18.2%,11,SACY,Fade,1.05,217.0,10.6,12.7,9.7,118.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Corrode,Sentinels,2,9,18.2%,11,TenZ,Omen,1.01,201.2,16.5,17.6,6.8,147.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Corrode,Sentinels,2,9,18.2%,11,Zellsis,KAY/O,1.07,156.6,16.3,17.9,5.9,113.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Corrode,LOUD,2,5,28.6%,7,Less,Viper,0.78,222.6,9.1,11.7,3.3,101.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Corrode,LOUD,2,5,28.6%,7,Saadhak,Breach,1.23,205.3,14.9,15.1,9.4,152.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Corrode,LOUD,2,5,28.6%,7,cauanzin,Sova,1.18,186.1,9.4,10.1,10.0,156.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Corrode,LOUD,2,5,28.6%,7,tuyz,Omen,1.17,172.3,20.3,13.5,2.6,183.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-24,Corrode,LOUD,2,5,28.6%,7,qck,Jett,0.79,164.7,18.0,11.7,5.6,158.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Corrode,NRG,3,6,33.3%,9,Crashies,Sova,0.82,139.9,15.4,17.2,6.6,156.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Corrode,NRG,3,6,33.3%,9,victor,Raze,1.23,252.3,11.4,12.2,9.9,108.1
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Corrode,NRG,3,6,33.3%,9,ETHAN,Breach,0.8,225.2,21.2,14.5,6.4,102.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Corrode,NRG,3,6,33.3%,9,marved,Omen,1.3,147.6,16.3,12.1,6.5,90.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-08,Corrode,NRG,3,6,33.3%,9,Fiend,Killjoy,0.72,277.9,14.1,9.4,4.2,173.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-02,Fracture,Cloud9,4,5,44.4%,9,OXY,Neon,0.81,170.3,9.1,17.2,3.5,156.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-02,Fracture,Cloud9,4,5,44.4%,9,Zellsis,Killjoy,1.31,300.4,15.4,18.0,5.0,97.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-02,Fracture,Cloud9,4,5,44.4%,9,penny,Viper,1.05,272.1,14.8,14.9,8.1,115.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-02,Fracture,Cloud9,4,5,44.4%,9,v1c,Omen,0.96,237.1,20.5,15.7,5.4,166.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-02,Fracture,Cloud9,4,5,44.4%,9,Xeppaa,Sova,1.36,269.2,14.9,12.5,4.6,152.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-04,Fracture,Sentinels,7,8,46.7%,15,zekken,Jett,0.76,300.3,22.1,12.7,2.8,97.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-04,Fracture,Sentinels,7,8,46.7%,15,johnqt,Cypher,0.95,169.1,13.2,16.0,7.0,200.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-04,Fracture,Sentinels,7,8,46.7%,15,SACY,Fade,1.4,144.5,14.9,10.4,9.6,102.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-04,Fracture,Sentinels,7,8,46.7%,15,TenZ,Omen,1.09,136.3,15.5,15.3,6.6,133.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-04,Fracture,Sentinels,7,8,46.7%,15,Zellsis,KAY/O,1.02,254.1,16.1,12.4,8.3,181.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Fracture,LOUD,6,7,46.2%,13,Less,Viper,1.39,237.5,23.6,14.2,7.5,153.1
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Fracture,LOUD,6,7,46.2%,13,Saadhak,Breach,1.22,123.2,22.5,9.5,7.8,205.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Fracture,LOUD,6,7,46.2%,13,cauanzin,Sova,1.04,254.9,18.9,15.8,7.9,195.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Fracture,LOUD,6,7,46.2%,13,tuyz,Omen,0.91,244.3,16.1,12.4,7.2,175.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-06,Fracture,LOUD,6,7,46.2%,13,qck,Jett,1.05,304.2,9.5,14.2,4.8,132.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-01,Fracture,NRG,8,2,80.0%,10,Crashies,Sova,0.93,160.8,22.2,13.5,5.1,194.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-01,Fracture,NRG,8,2,80.0%,10,victor,Raze,1.21,264.2,22.8,11.3,6.6,141.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-01,Fracture,NRG,8,2,80.0%,10,ETHAN,Breach,0.91,241.3,22.0,17.4,9.4,86.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-01,Fracture,NRG,8,2,80.0%,10,marved,Omen,0.97,151.1,16.5,10.1,6.2,166.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-01,Fracture,NRG,8,2,80.0%,10,Fiend,Killjoy,0.89,186.2,19.0,16.6,9.6,121.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Cloud9,0,10,0.0%,10,OXY,Neon,1.28,223.4,15.0,9.7,6.9,189.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Cloud9,0,10,0.0%,10,Zellsis,Killjoy,0.82,306.7,15.1,13.1,3.2,170.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Cloud9,0,10,0.0%,10,penny,Viper,0.96,253.7,11.4,9.6,4.3,183.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Cloud9,0,10,0.0%,10,v1c,Omen,1.36,304.7,19.0,17.0,6.7,91.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Cloud9,0,10,0.0%,10,Xeppaa,Sova,0.93,260.1,12.9,15.8,3.0,190.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Sentinels,5,6,45.5%,11,zekken,Jett,0.71,148.3,11.5,14.5,8.3,99.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Sentinels,5,6,45.5%,11,johnqt,Cypher,1.06,295.2,10.2,15.6,8.5,106.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Sentinels,5,6,45.5%,11,SACY,Fade,0.71,279.4,8.5,11.1,8.6,90.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Sentinels,5,6,45.5%,11,TenZ,Omen,1.33,290.9,10.1,17.7,3.1,98.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-31,Haven,Sentinels,5,6,45.5%,11,Zellsis,KAY/O,1.32,275.1,10.5,18.0,5.8,112.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-25,Haven,LOUD,8,8,50.0%,16,Less,Viper,1.15,190.5,13.2,15.8,6.2,159.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-25,Haven,LOUD,8,8,50.0%,16,Saadhak,Breach,1.17,309.6,21.7,9.3,8.5,94.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-25,Haven,LOUD,8,8,50.0%,16,cauanzin,Sova,1.23,164.7,20.6,12.1,2.3,157.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-25,Haven,LOUD,8,8,50.0%,16,tuyz,Omen,0.92,203.9,20.3,15.5,2.4,100.1
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-25,Haven,LOUD,8,8,50.0%,16,qck,Jett,0.95,289.7,23.6,13.2,5.1,92.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Haven,NRG,10,7,58.8%,17,Crashies,Sova,0.69,302.4,12.8,16.1,8.7,193.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Haven,NRG,10,7,58.8%,17,victor,Raze,1.33,140.2,10.7,17.3,3.0,163.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Haven,NRG,10,7,58.8%,17,ETHAN,Breach,1.14,271.5,18.5,9.1,5.2,93.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Haven,NRG,10,7,58.8%,17,marved,Omen,1.36,131.7,12.2,12.8,5.6,169.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Haven,NRG,10,7,58.8%,17,Fiend,Killjoy,0.8,141.5,14.8,11.9,5.8,143.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Icebox,Cloud9,8,2,80.0%,10,OXY,Neon,1.35,174.9,14.9,15.0,6.8,129.0
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Icebox,Cloud9,8,2,80.0%,10,Zellsis,Killjoy,1.21,268.1,23.2,10.9,7.4,140.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Icebox,Cloud9,8,2,80.0%,10,penny,Viper,1.36,198.2,17.2,10.0,8.8,195.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Icebox,Cloud9,8,2,80.0%,10,v1c,Omen,1.32,218.4,14.9,18.0,7.5,109.6
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-28,Icebox,Cloud9,8,2,80.0%,10,Xeppaa,Sova,0.81,266.0,18.9,15.6,4.4,133.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Icebox,Sentinels,5,3,62.5%,8,zekken,Jett,1.0,292.9,10.2,11.4,2.7,196.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Icebox,Sentinels,5,3,62.5%,8,johnqt,Cypher,1.06,302.4,16.1,9.2,2.5,101.1
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Icebox,Sentinels,5,3,62.5%,8,SACY,Fade,0.91,212.2,10.2,15.8,4.5,86.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Icebox,Sentinels,5,3,62.5%,8,TenZ,Omen,0.67,211.6,13.3,17.5,2.1,203.5
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-05,Icebox,Sentinels,5,3,62.5%,8,Zellsis,KAY/O,0.68,137.2,11.8,12.4,8.6,174.2
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Icebox,LOUD,3,2,60.0%,5,Less,Viper,1.44,134.0,18.3,10.0,7.5,196.1
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Icebox,LOUD,3,2,60.0%,5,Saadhak,Breach,0.96,169.3,8.5,16.6,3.1,93.9
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Icebox,LOUD,3,2,60.0%,5,cauanzin,Sova,0.95,190.3,22.4,15.6,7.6,181.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Icebox,LOUD,3,2,60.0%,5,tuyz,Omen,0.86,138.6,19.9,13.0,6.4,130.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-07-26,Icebox,LOUD,3,2,60.0%,5,qck,Jett,0.77,191.0,16.0,10.7,5.2,128.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Icebox,NRG,8,6,57.1%,14,Crashies,Sova,1.16,269.2,10.2,9.2,4.5,86.4
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Icebox,NRG,8,6,57.1%,14,victor,Raze,0.85,228.4,20.5,10.8,9.8,148.8
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Icebox,NRG,8,6,57.1%,14,ETHAN,Breach,1.34,123.1,13.9,14.5,7.3,185.3
ONGOING,VCT 26: AMER Stage 2,AMER,Jul 16 - Sep 7,2026-08-07,Icebox,NRG,8,6,57.1%,14,marved,Omen,1.17,287.7,8.5,16.4,3.9,162.0
